COUNTRY,% of Startups Exiting via Acquisition or IPO,Availability of Alternative Finance,Availability of Growth-Stage Capital for Scaleups,Availability of legal and accounting services for entrepreneurs.,"Availability of tech services (fintech services, crypto)",Average Time to Close a Funding Round,"Branches of multinational companies (e.g. Google, Microsoft)",Corporate tax rate,Corruption index / Rule of law,"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Cost of internet per month/USD,Cost starting a business (% of income per capita),Diversity and Inclusion Index-wage inequality,Diversity of Startup Funding Sources,E-Government Index,Early-Stage Funding Growth,Early-stage Funding Volume,Ease of getting credit,Ease of starting a business index,Ecosystem Networking Activity: Count of Meetup Groups/ Entrepreneurship Networking events,Emerging Investor Base: New Investors with less than 5 years of activity,Employee Engagement,English proficiency,Entrepreneurship as a good career choice rate,FDI Confidence index emerging markets rankings,Fear of failure rate,Female/Male TEA Ratio,Financial Literacy,Financial market development Index,Global Innovation Index,Government R&D Expenditure % GDP,Government effectiveness,Growth Rates in Biotech,Growth Rates in Cleantech,Growth Rates in Fintech,Growth Rates in Tech,H-index,Human Development Index,IP Protection Score,Industry association memberships,Internet freedom,Internet speed,Migration management,Number of Accelerators,Number of Angel Investors Supporting Startups,Number of Co-Working Spaces Supporting Startups,Number of Corporate Innovation Challenges or Hackathons Hosted,Number of Corporate Venture Capital (CVC) Funds investing in local Startups,Number of Ecosystem Networking Events Organized,Number of Funding Rounds Closed,Number of IPOs in the Last 5 Years,Number of Investors/VCs,Number of Mentions or Features in National or International Media,Number of Research Publications in High-Impact Journals,Number of STEM graduates,Number of Scaleups Featured in National or International Media,Number of Startup or Innovation-Ready Service Providers,Number of Startup-Ready Service Providers,Number of Startups Created,Number of Startups and Projects Supported by Service Providers,Number of VC investors older than 5 years,Number of contributions by top 1000 GitHub users,Number of coworking spaces,Number of cumulative unicorns,Number of exits above 1B,Number of exits above 50M,Number of global startup events,Number of incubators,Number of research institutes,Number of startup competitions,Perceived opportunities rate,Percentage of Scaleup-Ready Service Providers,Percentage of Startups Receiving Investment,Percentage of Startups Securing Series A or Beyond,Percentage of Startups with Access to Seed or Early-Stage Funding,Percentage of enrollment in secondary education,Political transformation index,Presence of international influencers (like Tim Cook),Public Open Data Initiatives,Public capital market activity,Quality of Vocational Trainings,"R&D centers of multinational companies (e.g. Alphabet, Microsoft, Meta)",Ratio of Series A to seed,Ratio of Series C to Series A Startups,Regulatory quality,Salary of software engineers,Score of data science and tech skills,Startup Survival Rate (2+ Years),Startups to total number of companies ratio,Strength of IP Laws Score,Tax wedge,Top Universities per country,Total Capital Invested in Startups,Total Capital Invested in Startups and Scaleups,Total Funding Raised by Startups,Total Funding Raised by Startups and Scaleups,Total Government Funding allocated to early-stage Startups and Scale-ups,Total Growth-Stage Capital Invested in Scaleups,Total Number of Startups and Scaleups,Total Public Funding Allocated to Innovation and Entrepreneurship,Unemployment Rate,Youth Labour Participation rate
Azerbaijan,4.015077024,,0.0,0.0,71.21212121,0.0,0.0,44.44444444,25.94,4.166862847,4.166862847,0.0,,0.0,68.18181818,65.34,0.000539186,100.0,14.285714289999998,0.0,0.0,22.5,26.66666667,,,,,39.65517241,,19.37172775,0.003010235,50.94,,,,,8.32083958,64.73594549,,0.0,29.41176471,19.3189126,,0.338294993,0.0,0.0,0.0,0.025305245,0.0,0.0,,0.027609457,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.056110425,16.16886597,0.085397097,,,,0.11466666700000001,0.425531915,0.488997555,0.0,,0.0,0.0,11.61616162,0.0,88.42105263,38.61386139,,62.40179574,0.0,50.30693677,0.0,13.77245509,0.0,48.11,17.6426527,56.56565657,0.0,0.246412118,,,4.938271605,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,84.28571429,37.68115942
Bahamas,9.292035399,,0.0,0.0,,0.0,0.0,100.0,55.66,,,0.0,,0.0,72.72727273,22.0,0.136959437,30.0,62.43386243,0.0,0.0,,,,,,,,,,,65.09,,,,,,74.95741056,,0.0,,19.49722303,,0.135317997,0.0,0.0,0.0,0.088568356,0.0,0.0,,0.05957830200000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.10099876600000002,,0.0,,,,0.069333333,0.0,,0.0,,0.0,0.0,7.012987014999999,0.0,60.0,,,35.35353535,0.0,,0.0,10.17964072,100.0,47.17,84.34665472,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,75.71428571,49.27536232
Bahrain,10.00440245,,0.0,0.0,53.78787879,0.0,0.0,100.0,65.09,17.68915674,17.68915674,0.0,,0.0,77.27272727,64.27,0.018342678,55.00000000000001,22.22222222,0.0,0.0,27.500000000000004,,,,,,46.55172414,,30.366492150000003,,72.17,,,,,11.24437781,86.54173765,,0.0,22.35294118,25.027769659999997,,0.270635995,0.0,0.0,0.0,0.22142088999999998,0.0,0.0,0.05133470200000001,0.11334408699999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.157109191,4.60094447,0.085397097,,,,0.20266666699999997,0.0,,0.0,,0.0,0.0,9.910205153,0.0,89.47368421,38.11881188,,69.13580247,0.0,54.28176796,0.0,10.17964072,14.000000000000002,78.3,18.59050389,47.47474747,0.0,0.62884,,,2.469135802,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,96.85714286,40.57971014
Bangladesh,2.302143733,,0.0,0.0,79.54545455,0.0,0.0,23.61111111,29.719999999999995,4.039738217,4.039738217,0.0,30.405405410000004,0.0,53.40909091,31.4,0.055215704000000004,45.0,88.35978836,0.0,0.0,55.00000000000001,44.16666667,,,,,10.34482759,,15.532286210000002,,23.11,,,,,17.84107946,49.40374787,,0.0,36.47058824,14.58345513,,0.676589987,0.0,0.0,0.0,0.227747201,0.0,0.0,0.102669405,0.116250345,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.145887106,29.978062829999995,0.085397097,,,,0.253333333,0.283687943,0.244498778,0.0,,0.0,0.0,4.917450576,0.0,65.26315789,37.25247525,,42.98540965,0.0,21.08655617,0.0,15.568862279999998,10.0,17.92,4.530644655,27.27272727,0.0,0.235232741,,,17.28395062,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,87.42857143,55.07246377
Barbados,34.30603786,,0.0,0.0,57.57575758,0.0,0.0,75.0,60.38,24.89288573,24.89288573,0.0,,0.0,70.45454545,69.07,0.009245702,30.0,67.1957672,0.0,0.0,,,,,,,,,27.748691100000002,,65.57,,,,,13.49325337,73.0834753,,0.0,,27.51534639,,0.0,0.0,0.0,0.0,0.018978933,0.0,0.0,0.0,0.014531293,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.033666255,,0.085397097,,,,0.010666667,0.0,,0.0,,0.0,0.0,21.74913694,0.0,93.68421053,,,23.45679012,0.0,41.11418048,0.0,29.94011976,100.0,67.92,24.86274259,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,77.71428571,42.02898551
Belarus,9.983767887,,0.0,0.0,63.636363640000006,0.0,0.0,30.55555556,11.79,2.081077264,2.081077264,0.0,,0.0,76.13636364,39.21,0.001086177,50.0,25.3968254,0.0,0.0,,59.58333333,68.77865777,,16.26000762,61.0,43.10344828,,24.43280977,8.274122729,19.81,,,,,8.32083958,71.72061329,,0.0,15.29411765,21.79187372,,0.202976996,0.0,0.0,0.0,0.025305245,0.0,0.0,,0.013078164,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04488834,13.36392257,,,,,0.11466666700000001,0.141843972,0.488997555,0.0,15.3024469,0.0,0.0,7.158306007999999,0.0,95.78947368,34.77722772,,70.9315376,0.0,,0.0,0.0,,7.55,29.996219800000002,79.7979798,0.0,0.23989081500000003,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,90.28571429,40.57971014
Belgium,34.79666129,,0.0,0.0,17.42424242,0.0,0.0,30.55555556,88.21,23.22614059,23.22614059,0.0,3.378378378,0.0,84.09090909,47.96,0.659456888,65.0,23.80952381,0.0,0.0,12.5,81.66666667,,,,,72.4137931,,65.44502618,61.72266888,84.91,53.33333333,47.22222222,42.62295082,36.08247423,62.56871564000001,95.74105622,,0.0,,33.16574101,77.63157895,2.435723951,0.0,0.0,0.0,1.967482761,0.0,0.0,0.9240246409999999,1.084034468,0.0,0.0,9.562316608,0.0,0.0,0.0,0.0,0.0,1.5710919090000002,54.94708286000001,4.953031597,0.305343512,0.119617225,0.271370421,1.746666667,1.985815603,1.95599022,0.0,,0.0,0.0,54.79502148,0.0,94.73684211,,4.87804878,62.514029179999994,0.0,64.68692449,0.0,29.34131737,12.0,86.79,45.5203581,90.90909091,0.0,5.532394576,,0.0,6.172839506,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,84.57142857,26.086956519999998
Benin,4.730490749,,0.0,0.0,89.39393939,0.0,0.0,16.66666667,28.77,,,0.0,,0.0,38.63636364,57.21000000000001,3.70144e-07,30.0,78.30687831,0.0,0.0,40.0,7.5,,,,,41.37931034,,9.07504363,,45.75,,,,,4.997501249,21.12436116,,0.0,,5.270388775,,0.0,0.0,0.0,0.0,0.006326311,0.0,0.0,,0.004359388,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.591332306,0.085397097,,,,0.0,0.0,,0.0,,0.0,0.0,23.20661157,0.0,44.21052632,49.87623762,,55.89225589,0.0,46.33210559,0.0,89.82035928,0.0,39.62,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,95.42857143,53.62318841
Bermuda,100.0,,0.0,0.0,,0.0,0.0,100.0,74.06,,,0.0,,0.0,,21.68,0.059056054,,,0.0,0.0,,,,,,,,,,,84.43,,,,,,,,0.0,,,,0.067658999,0.0,0.0,0.0,0.253052445,0.0,0.0,0.410677618,0.09881279299999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.089776681,,0.0,0.0,0.119617225,0.13568521,,0.141843972,,0.0,,0.0,0.0,64.11873841,0.0,71.57894737,,2.43902439,,0.0,,0.0,38.92215569,46.0,80.19,100.0,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
Bhutan,,,0.0,0.0,,0.0,0.0,30.55555556,71.7,,,0.0,,0.0,52.27272727,,3.1718e-07,55.00000000000001,46.56084656,0.0,0.0,,,,,,,70.68965517,,,,69.81,,,,,,51.27768312999999,,0.0,,,,0.0,0.0,0.0,0.0,0.006326311,0.0,0.0,,0.002906259,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.6866501440000001,,,,,0.008,0.0,,0.0,,0.0,0.0,31.5262719,0.0,68.42105263,62.12871287,,48.93378227,0.0,,0.0,0.0,,38.68,5.178779654,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,91.42857143,24.63768116
Bolivia,7.786143839999999,,0.0,0.0,75.0,0.0,0.0,30.55555556,9.43,15.24083055,15.24083055,0.0,,0.0,60.22727273,0.0,0.001019485,35.0,78.83597884,0.0,0.0,40.0,53.75,,,,,18.96551724,,17.45200698,,31.6,,,,,12.99350325,54.34412266,,0.0,,12.94066063,,0.067658999,0.0,0.0,0.0,0.006326311,0.0,0.0,,0.004359388,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.033666255,13.00488981,0.597779676,,,,0.002666667,0.0,,0.0,,0.0,0.0,8.814665995,0.0,75.78947368,56.93069307,,58.024691360000006,0.0,28.069367710000005,0.0,10.17964072,0.0,10.38,11.62942799,38.38383838,0.0,,,,4.320987654,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,91.71428571,68.11594203
Bosnia and Herzegovina,13.33533535,,0.0,0.0,59.84848484999999,0.0,0.0,72.22222222,41.51,9.374264325,9.374264325,0.0,,0.0,61.363636359999994,100.0,0.001147941,65.0,47.08994709,0.0,0.0,30.0,,,,,,24.13793103,,26.701570679999996,0.002689542,12.740000000000002,,,,,9.145427286,67.97274276,,0.0,,8.874598071,,0.135317997,0.0,0.0,0.0,0.018978933,0.0,0.0,,0.007265646999999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,0.0,,,,,0.045333333,0.141843972,,0.0,,0.0,0.0,34.35843054,0.0,,55.44554455,,48.82154882,0.0,14.34929405,0.0,8.383233533,0.0,45.75,17.4796439,,0.0,0.062418193,,,3.086419753,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,69.71428571,17.39130435
Botswana,12.04523107,,0.0,0.0,65.15151515,0.0,0.0,38.88888889,66.04,32.07307312,32.07307312,0.0,,0.0,52.27272727,,0.001484039,60.0,45.5026455,0.0,0.0,50.0,,,,,,67.24137931,,22.51308901,,67.92,,,,,4.997501249,55.87734242,,0.0,,3.615901783,,0.0,0.0,0.0,0.0,0.018978933,0.0,0.0,,0.010171905,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02244417,2.544711635,0.170794193,,,,0.021333333,0.0,,0.0,,0.0,0.0,15.909090910000002,0.0,57.89473684000001,73.88613861,,56.00448934,0.0,32.41252302,0.0,14.97005988,0.0,72.17,7.850723939,71.71717172,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,33.42857143,40.57971014
Brazil,30.77439097,,0.0,0.0,37.12121212,0.0,0.0,5.55555556,43.4,5.833607985,5.833607985,0.0,53.82882883,0.0,79.54545455,47.03,1.255571589,50.0,65.07936508,0.0,0.0,72.5,29.16666667,,49.16512059,33.62561952,34.0,37.93103448,15.12605042,39.26701571,,30.659999999999997,46.66666667,52.77777778,37.70491803,29.896907220000003,32.65867066,64.73594549,39.83779798,0.0,65.88235294,54.02806197000001,71.05263158,5.412719892,0.0,0.0,0.0,2.619092807,0.0,0.0,4.876796715,1.509801357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.209516328,33.64424945,4.526046114,2.442748092,0.4784689,0.678426052,1.5946666670000003,2.836879433,6.112469438,0.0,65.42044467,0.0,0.0,16.66475244,0.0,81.05263158,65.71782178,11.2195122,70.37037037,0.0,19.93554328,0.0,22.75449102,17.0,43.87,19.4055479,72.72727273,0.0,4.404209036,55.28385353,,58.64197530999999,0.0,0.0,0.0,0.0,29.629629629999997,0.0,0.0,0.0,77.71428571,57.97101449000001
Brunei,2.565848039,,0.0,0.0,65.90909091,0.0,0.0,48.61111111,80.19,,,0.0,,0.0,72.72727273,,1.15907e-06,100.0,34.39153439,0.0,0.0,,,,,,,,,21.9895288,,91.04,,,,,10.61969015,75.46848382,33.15310887,0.0,,21.84156679,,0.0,0.0,0.0,0.0,0.018978933,0.0,0.0,,0.007265646999999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,,0.0,,,,0.029333333,0.0,,0.0,,0.0,0.0,2.90478752,0.0,82.10526316,,,60.15712682000001,0.0,49.17127072,0.0,29.94011976,0.0,82.55,,,0.0,,33.15310887,,1.234567901,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,85.42857143,33.33333333
Bulgaria,13.22461967,,0.0,0.0,28.03030303,0.0,0.0,72.22222222,49.53,3.7054475259999995,3.7054475259999995,0.0,41.66666667,0.0,78.40909091,54.58,0.062916065,65.0,31.746031749999997,0.0,0.0,30.0,79.16666667,53.93914131,,63.97255050999999,56.99999999999999,37.93103448,,49.38917976,0.000650925,42.92,,,,,10.61969015,71.37989779,,0.0,,24.60391698,39.47368421,0.47361299100000004,0.0,0.0,0.0,0.170810401,0.0,0.0,0.154004107,0.12787538,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.302996297,31.86030545,1.7933390260000002,,,,0.344,0.425531915,2.444987775,0.0,8.135635325,0.0,0.0,23.55172917,0.0,88.42105263,74.00990099,0.0,75.8698092,0.0,32.28974831,0.0,9.580838323,6.0,61.79,29.10107146,82.82828283,0.0,2.830245807,,,1.8518518519999998,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,88.0,10.14492754
Burkina Faso,3.674816259,,0.0,0.0,96.96969697,0.0,0.0,23.61111111,28.300000000000004,,,0.0,,0.0,29.54545455,,0.006380907,30.0,79.36507937,0.0,0.0,45.0,,70.79338613,,29.431948149999997,60.0,34.48275862,,4.537521815,4.499406252,21.23,,,,,6.246876562,9.880749574,,0.0,,13.101432329999998,,0.0,0.0,0.0,0.0,0.006326311,0.0,0.0,,0.004359388,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.465436399,0.0,,,,,0.0,0.488997555,0.0,78.00273258,0.0,0.0,39.52234207,0.0,27.36842105,34.03465347,,52.18855219,0.0,33.53284223,0.0,29.94011976,0.0,34.43,8.695069534,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,85.14285714,20.28985507
